id,Potencia,Radiacion,Temperatura,Temperatura panel
404,8.0,-2.0,12.0,12.0
405,8.0,-2.0,12.0,12.0
406,8.0,-3.0,12.0,12.0
407,8.0,-3.0,12.0,12.0
408,8.0,-3.0,11.0,11.0
409,8.0,-3.0,11.0,11.0
410,7.0,-3.0,11.0,11.0
411,-5.0,0.0,11.0,10.0
412,-69.0,13.0,11.0,10.0
413,-76.0,40.0,11.0,11.0
414,-194.0,47.0,11.0,11.0
415,-161.0,61.0,11.0,11.0
416,-976.0,256.0,13.0,12.0
417,-1276.0,349.0,14.0,14.0
418,-2351.0,626.0,17.0,16.0
419,-2595.0,763.0,18.0,19.0
420,-2787.0,841.0,19.0,22.0
421,-2915.0,891.0,21.0,24.0
422,-1577.0,854.0,22.0,27.0
423,-992.0,409.0,20.0,24.0
424,-1174.0,331.0,19.0,21.0
425,-2162.0,500.0,19.0,20.0
426,-3076.0,750.0,21.0,24.0
427,-2679.0,926.0,23.0,27.0
428,-1884.0,921.0,24.0,28.0
429,-2591.0,849.0,24.0,28.0
430,-2050.0,893.0,25.0,29.0
431,-2679.0,673.0,24.0,28.0
432,-2424.0,718.0,24.0,28.0
433,-2323.0,702.0,25.0,27.0
434,-1298.0,604.0,24.0,29.0
435,-2134.0,793.0,25.0,28.0
436,-3099.0,948.0,25.0,31.0
437,-2111.0,773.0,26.0,31.0
438,-1470.0,736.0,24.0,31.0
439,-1704.0,570.0,24.0,27.0
440,-2002.0,795.0,26.0,30.0
441,-2973.0,892.0,28.0,31.0
442,-2438.0,910.0,29.0,35.0
443,-2985.0,889.0,29.0,34.0
444,-3074.0,1016.0,31.0,38.0
445,-2575.0,1181.0,32.0,39.0
446,-2542.0,902.0,30.0,41.0
447,-3071.0,1082.0,32.0,41.0
448,-3060.0,1047.0,30.0,41.0
449,-3064.0,1046.0,32.0,41.0
450,-3053.0,1041.0,32.0,41.0
451,-588.0,993.0,32.0,42.0
452,-3063.0,1013.0,33.0,42.0
453,-3040.0,1036.0,33.0,44.0
454,-3047.0,1038.0,34.0,43.0
455,-3006.0,1004.0,34.0,43.0
456,-1891.0,934.0,33.0,44.0
457,-307.0,190.0,28.0,35.0
458,-241.0,79.0,25.0,27.0
459,-203.0,64.0,24.0,25.0
460,-333.0,98.0,23.0,24.0
461,-779.0,134.0,22.0,23.0
462,-1904.0,605.0,23.0,25.0
463,-1183.0,496.0,22.0,25.0
464,-948.0,361.0,21.0,23.0
465,-688.0,286.0,21.0,22.0
466,-186.0,186.0,20.0,21.0
467,-111.0,57.0,18.0,19.0
468,-26.0,35.0,18.0,18.0
469,8.0,2.0,17.0,16.0
